tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,sentence_quality,sentence_score
'VBG','CC','VBG','DT','NN','WDT','VBZ','DT','IN','PRP$','NNS','VBD','DT','JJ','NN','VBG','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'DT','NNP','NNP','RB','VBD','IN','DT','JJS','NN','IN','PRP','CC','PRP',"','",'IN','DT','JJ','NN','IN','DT','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','VBG','DT','NN',"','",'NN','DT','NN','NN',"','",'CC','VBG','DT','NN','NNP','NN',"','",'PRP','VBP','IN','NNP','NNS','WP','PRP','VBP','TO','VB','IN','PRP$','NN','NN','.',,,,,,,,,,,,,,,-1,0
'IN','NN',"','",'PRP','MD','VB','TO','DT','NN','IN','DT','NN','IN','NN','NNS','WP','VBZ','JJ','CC','NNS','VBG','IN','NN','NNS','.',,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','JJ','NNS',"','",'PRP','VBP','VBN','TO','VB','DT','NN',"','",'CC','DT','NNP','NNP','IN','NNP','VBZ','RP','RB','DT','NN','NN','IN','JJ','NN','.',,,,,,,,,,,,,,,,,,,-1,0
'DT','NN','POS','NN','NN','TO','JJ','NNS','MD','VB','PRP','IN','NNS','CC','JJ','NN',"','",'VBG','PRP','DT','JJS','NN','JJ','.',,,,,,,,,,,,,,,,,,,,,,,-1,0
'IN','DT','NN',"','",'PRP','MD','VB','IN','DT','NN','CC','JJ','NN','IN','DT','NN','NN',"','",'CD','IN','NNP','POS','JJS','NNS','.',,,,,,,,,,,,,,,,,,,,,,-1,0
'VBG','IN','DT','JJ','NN','NN',"','",'PRP','VBD','RB','VBN','IN','PRP$','NN','TO','DT','NN',"','",'WRB','PRP','VBD','DT','NN','NNS','IN','DT','NNS','CC','NNS',"','",'CC','DT','JJ','NN','VBG','IN','DT','NN','NN','.',,,,,,,-1,0
'``','NNP',"','",'PRP','VBP','PRP$','NN','IN','NNP','DT','NN','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
'NNP','PRP','VBP','IN','PRP','.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
